frame,time_s,angle_deg,leaflet_left_len,leaflet_right_len,asymmetry,tip_left_x,tip_left_y,tip_right_x,tip_right_y,base_left_x,base_left_y,base_right_x,base_right_y,angle_smooth_deg,angle_plot_deg,speed_deg_s,asymmetry_smooth,asymmetry_plot
0,0.0,28.53306873654726,69.52157938367051,91.36328584283733,0.27151971602072256,289.0,301.0,331.0,285.0,261.0,362.0,334.0,378.0,25.802192011874276,28.751582026261634,23.735515505982193,0.1840364013555306,0.1840364013555306
1,0.033366700033366704,nan,nan,nan,nan,289.0,301.0,331.0,285.0,261.0,362.0,nan,nan,26.257338132653107,29.543557852287066,23.735515505982246,nan,0.1840364013555306
2,0.06673340006673341,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,353.0,380.0,26.712484253431935,30.3355336783125,23.7355155059823,nan,0.1840364013555306
3,0.1001001001001001,24.590706995062817,110.60289327137876,121.82364302548172,0.09655308669033863,298.0,265.0,347.0,252.0,299.0,364.0,353.0,380.0,27.167630374210766,31.127509504337937,23.735515505982246,0.09655308669033863,0.22042939473340223
4,0.13346680013346682,25.802192011874276,113.3225485064645,121.82364302548172,0.07230476040146526,295.0,263.0,347.0,252.0,299.0,364.0,353.0,380.0,27.167630374210766,31.91948533036337,23.735515505982193,0.1840364013555306,0.25682238811127384
5,0.16683350016683351,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32.7114611563888,23.735515505982246,nan,0.2932153814891455
6,0.2002002002002002,nan,131.05056276109616,91.49453535594353,0.35548774374126674,188.0,298.0,336.0,287.0,261.0,362.0,334.0,378.0,nan,33.503436982414236,12.089724205455783,0.1840364013555306,0.3296083748670171
7,0.2335669002335669,nan,nan,nan,nan,188.0,296.0,342.0,289.0,nan,nan,nan,nan,nan,33.51824955848795,0.4439329049293716,nan,0.33252968869881633
8,0.26693360026693363,57.02177864823674,150.9345884812358,164.73084107112427,0.0874106018479927,188.0,296.0,339.0,289.0,210.0,431.0,301.0,431.0,33.503436982414236,33.533062134561675,0.44393290492947807,0.3296083748670171,0.33545100253061555
9,0.3003003003003003,nan,nan,nan,nan,188.0,296.0,342.0,289.0,nan,nan,nan,nan,nan,33.5478747106354,0.44393290492947807,nan,0.33468566588239335
