frame,time_s,angle_deg,leaflet_left_len,leaflet_right_len,asymmetry,tip_left_x,tip_left_y,tip_right_x,tip_right_y,base_left_x,base_left_y,base_right_x,base_right_y,angle_smooth_deg,speed_deg_s,asymmetry_smooth
0,0.0,5.942374,384.60532,381.78036,0.00737214,667.0,30.0,686.0,65.0,353.0,250.0,355.0,257.0,5.942374229431152,-80.60445356369017,0.0073721399530768394
1,0.033366700033366704,nan,nan,nan,nan,667.0,30.0,nan,nan,353.0,250.0,355.0,257.0,3.2528696060180664,-40.302226781845086,0.015383535530418158
2,0.06673340006673341,nan,nan,nan,nan,nan,nan,677.0,48.0,nan,nan,nan,nan,3.2528696060180664,-40.302226781845086,0.015383535530418158
3,0.1001001001001001,0.563365,391.38376,400.64853,0.023394931,666.0,46.0,676.0,45.0,293.0,220.0,353.0,249.0,0.5633649826049805,-40.302226781845086,0.023394931107759476
4,0.13346680013346682,nan,nan,nan,nan,nan,nan,676.0,45.0,nan,nan,353.0,250.0,0.5633649826049805,0.0,0.023394931107759476
5,0.16683350016683351,nan,nan,nan,nan,666.0,46.0,676.0,45.0,353.0,250.0,nan,nan,0.5633649826049805,943.2721637392043,0.023394931107759476
6,0.2002002002002002,nan,nan,nan,nan,669.0,47.0,676.0,45.0,nan,nan,368.0,216.0,63.51112365722656,943.2721637392043,0.1580822616815567
7,0.2335669002335669,nan,nan,nan,nan,nan,nan,nan,nan,350.0,254.0,nan,nan,63.51112365722656,376.8196682167053,0.1580822616815567
8,0.26693360026693363,63.511124,407.56656,347.85703,0.15808226,12.0,30.0,50.0,429.0,350.0,254.0,353.0,257.0,88.6575813293457,376.8196682167053,0.09994222968816757
9,0.3003003003003003,nan,nan,nan,nan,12.0,30.0,nan,nan,351.0,257.0,nan,nan,88.6575813293457,0.0,0.09994222968816757
10,0.33366700033366703,113.80404,404.65417,388.08505,0.041802198,12.0,30.0,676.0,45.0,348.0,252.0,350.0,256.0,88.6575813293457,-7.212828855514525,0.09994222968816757
11,0.3670337003670337,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,351.0,257.0,88.17624473571777,-7.212828855514525,0.08952721208333969
12,0.4004004004004004,nan,nan,nan,nan,12.0,30.0,65.0,430.0,350.0,257.0,nan,nan,88.17624473571777,-384.0324970722198,0.08952721208333969
13,0.4337671004337671,62.54845,411.44928,358.60355,0.13725223,12.0,30.0,55.0,430.0,362.0,244.0,363.0,247.0,62.5484504699707,-384.0324970722198,0.13725222647190094
14,0.4671338004671338,nan,nan,nan,nan,12.0,30.0,nan,nan,nan,nan,nan,nan,62.5484504699707,0.0,0.13725222647190094
15,0.5005005005005005,nan,nan,nan,nan,nan,nan,676.0,45.0,350.0,256.0,369.0,225.0,62.5484504699707,nan,0.13725222647190094
16,0.5338672005338673,nan,nan,nan,nan,12.0,30.0,nan,nan,350.0,248.0,370.0,225.0,nan,748.58284784317,nan
17,0.5672339005672339,nan,nan,nan,nan,12.0,30.0,39.0,17.0,348.0,249.0,nan,nan,112.5039291381836,nan,0.058425698429346085
18,0.6006006006006006,nan,nan,nan,nan,12.0,30.0,nan,nan,350.0,251.0,353.0,254.0,112.5039291381836,0.0,0.058425698429346085
19,0.6339673006339673,112.50393,405.30267,382.2947,0.0584257,12.0,30.0,667.0,28.0,352.0,253.0,356.0,242.0,112.5039291381836,0.0,0.058425698429346085
20,0.6673340006673341,nan,nan,nan,nan,nan,nan,676.0,45.0,nan,nan,nan,nan,112.5039291381836,0.0,0.058425698429346085
21,0.7007007007007007,nan,nan,nan,nan,12.0,30.0,nan,nan,301.0,272.0,328.0,287.0,112.5039291381836,nan,0.058425698429346085
22,0.7340674007340674,nan,nan,nan,nan,12.0,30.0,47.0,423.0,nan,nan,nan,nan,nan,nan,nan
23,0.7674341007674341,nan,nan,nan,nan,12.0,30.0,nan,nan,354.0,231.0,355.0,234.0,nan,nan,nan
24,0.8008008008008008,nan,nan,nan,nan,12.0,30.0,27.0,28.0,nan,nan,357.0,245.0,nan,nan,nan
25,0.8341675008341676,nan,nan,nan,nan,nan,nan,nan,nan,282.0,227.0,357.0,249.0,nan,nan,nan
26,0.8675342008675342,nan,nan,nan,nan,597.0,461.0,674.0,48.0,nan,nan,358.0,255.0,nan,nan,nan
27,0.9009009009009009,nan,nan,nan,nan,nan,nan,676.0,45.0,354.0,255.0,362.0,258.0,nan,nan,nan
28,0.9342676009342676,nan,nan,nan,nan,670.0,28.0,nan,nan,nan,nan,356.0,253.0,nan,nan,nan
29,0.9676343009676344,nan,nan,nan,nan,nan,nan,686.0,63.0,239.0,203.0,351.0,252.0,nan,nan,nan
30,1.001001001001001,nan,nan,nan,nan,671.0,29.0,686.0,63.0,nan,nan,359.0,257.0,nan,nan,nan
31,1.0343677010343677,nan,nan,nan,nan,671.0,29.0,686.0,63.0,275.0,234.0,nan,nan,nan,nan,nan
32,1.0677344010677345,nan,nan,nan,nan,667.0,30.0,686.0,63.0,nan,nan,363.0,243.0,nan,nan,nan
33,1.1011011011011012,nan,nan,nan,nan,671.0,29.0,686.0,63.0,237.0,199.0,nan,nan,nan,nan,nan
34,1.1344678011344678,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,359.0,259.0,nan,nan,nan
35,1.1678345011678346,nan,nan,nan,nan,670.0,29.0,686.0,63.0,293.0,220.0,nan,nan,nan,nan,nan
36,1.2012012012012012,nan,nan,nan,nan,nan,nan,nan,nan,293.0,220.0,365.0,260.0,62.083438873291016,nan,0.19633394479751587
37,1.234567901234568,nan,nan,nan,nan,12.0,30.0,43.0,412.0,nan,nan,nan,nan,62.083438873291016,0.0,0.19633394479751587
38,1.2679346012679347,62.08344,399.7177,328.25485,0.19633394,12.0,30.0,44.0,409.0,310.0,266.0,365.0,258.0,62.083438873291016,0.0,0.19633394479751587
39,1.3013013013013013,nan,nan,nan,nan,12.0,30.0,44.0,410.0,nan,nan,360.0,258.0,62.083438873291016,0.0,0.19633394479751587
40,1.3346680013346681,nan,nan,nan,nan,12.0,30.0,nan,nan,347.0,229.0,357.0,257.0,62.083438873291016,nan,0.19633394479751587
41,1.3680347013680347,nan,nan,nan,nan,12.0,30.0,44.0,410.0,nan,nan,nan,nan,nan,nan,nan
42,1.4014014014014013,nan,nan,nan,nan,nan,nan,nan,nan,303.0,276.0,361.0,257.0,nan,nan,nan
